1;di;204007900;1
2;e;147122730;0,721161926
3;il;97774427;0,479267847
4;la;97000247;0,475472994
5;che;87633205;0,429557899
6;in;77664783;0,380694978
7;a;72005360;0,352953783
8;per;68783056;0,337158786
9;un;56853428;0,278682482
10;del;54791491;0,268575339
11;?;54391477;0,266614562
12;l';44488897;0,218074383
13;con;42598994;0,208810512
14;i;42543638;0,208539169
15;della;42091947;0,206325083
16;non;41203560;0,201970414
17;le;40440747;0,198231279
18;una;39279978;0,192541456
19;si;36797547;0,180373147
20;da;34218462;0,167731063
21;al;27556851;0,135077372
22;dei;23679145;0,116069745
23;sono;21763748;0,106680908
24;nel;20660910;0,101275049
25;pi?;19308414;0,094645423
26;come;19155252;0,093894658
27;ha;18993572;0,09310214
28;delle;18852148;0,092408912
29;alla;18845974;0,092378648
30;dell';18752267;0,091919318
31;ma;18104913;0,088746137
32;anche;17830513;0,087401091
33;o;15763313;0,07726815
34;gli;15078762;0,073912638
35;se;12768671;0,062589101
36;ed;12581933;0,061673754
37;ad;12215119;0,059875716
38;dal;12159484;0,059603006
39;lo;11967648;0,058662669
40;questo;11932841;0,058492053
41;nella;11447627;0,056113646
42;all';10994736;0,053893678
43;essere;9322629;0,045697392
44;su;9011627;0,044172932
45;cui;8876337;0,043509771
46;ci;8739893;0,042840954
47;alle;8629349;0,042299092
48;tra;8624832;0,042276951
49;ai;8320758;0,04078645
50;dalla;7841577;0,038437614
51;degli;7820148;0,038332574
52;mi;7610568;0,037305261
53;tutti;7580308;0,037156934
54;sul;7488290;0,036705882
55;solo;7461528;0,036574701
56;d';7294611;0,035756512
57;hanno;6946075;0,034048069
58;questa;6919888;0,033919706
59;due;6765918;0,03316498
60;anni;6763856;0,033154873
61;loro;6688269;0,032784363
62;stato;6629641;0,032496982
63;parte;6269456;0,030731437
64;prima;6261100;0,030690478
65;sua;6198496;0,030383608
66;sia;6133122;0,030063159
67;sempre;6109590;0,029947811
68;un';6046111;0,029636651
69;tutto;5988120;0,029352393
70;ho;5934714;0,029090609
71;era;5719263;0,028034517
72;uno;5664258;0,027764895
73;suo;5661718;0,027752445
74;dopo;5531745;0,027115347
75;molto;5483595;0,026879327
76;sulla;5404534;0,026491788
77;pu?;5374185;0,026343024
78;ogni;5280368;0,025883155
79;c';5228680;0,025629792
80;nei;5223295;0,025603396
81;quando;5180873;0,025395453
82;poi;5164908;0,025317196
83;nell';4830467;0,023677843
84;senza;4824357;0,023647893
85;perché;4806449;0,023560112
86;cos?;4775926;0,023410495
87;ancora;4685945;0,022969429
88;quello;4638744;0,022738061
89;tempo;4609411;0,022594277
90;fare;4385464;0,02149654
91;fatto;4347344;0,021309685
92;dall';4315110;0,021151681
93;nelle;4297168;0,021063733
94;vita;4221142;0,020691071
95;quanto;4177981;0,020479506
96;proprio;4176385;0,020471683
97;altri;4139864;0,020292665
98;chi;4136650;0,020276911
99;lavoro;4093485;0,020065326
100;dove;3956255;0,019392656
101;gi?;3945301;0,019338962
102;quella;3882577;0,019031503
103;modo;3875621;0,018997406
104;fa;3816003;0,018705173
105;io;3786521;0,018560659
